word,pronunciation,meaning,example,image_url,category,difficulty
非常に,ひじょうに,rất,.,,,easy
大変に,たいへんに,"khủng khiếp, rất nhiều",.,,,easy
ほとんど,ほとんど,gần như hoàn toàn,.,,,easy
大体,だいたい,"phần lớn, trong khoảng",.,,,easy
かなり,かなり,khá,.,,,easy
ずいぶん,ずいぶん,đáng kể,.,,,easy
けっこう,けっこう,rất,.,,,easy
大分,ずいぶん,"chủ yếu, khá",.,,,easy
もっと,もっと,"hơn, nữa",.,,,easy
しっかり,しっかり,toàn bộ,.,,,easy
いっぱい,いっぱい,đầy,.,,,easy
ぎりぎり,ぎりぎり,"gần, sát nút",.,,,easy
ぴったり,ぴったり,"vừa vặn, đúng",.,,,easy
たいてい,たいてい,"đại thể, thường",.,,,easy
同時に,どうじに,cùng lúc,.,,,easy
前もって,まえもって,trước,.,,,easy
すぐに,すぐに,ngay lập tức,.,,,easy
もうすぐ,もうすぐ,sắp,.,,,easy
突然,とつぜん,đột nhiên,.,,,easy
あっという間に,あっというまに,loáng một cái,.,,,easy
いつの間にか,いつのまにか,lúc nào không biết,.,,,easy
しばらく,しばらく,một chút,.,,,easy
ずっと,ずっと,"suốt, nhiều",.,,,easy
相変わらず,あいかわらず,như mọi khi,.,,,easy
次々に,つぎつぎに,lần lượt,.,,,easy
どんどん,どんどん,dần dần,.,,,easy
ますます,ますます,càng ngày càng,.,,,easy
やっと,やっと,"cuối cùng, vừa đủ",.,,,easy
とうとう,とうとう,"sau cùng, cuối cùng, sau tất cả",.,,,easy
ついに,ついに,"cuối cùng, sau cùng",.,,,easy
もちろん,もちろん,tất nhiên,.,,,easy
やはり,やはり,như dự tính,.,,,easy
きっと,きっと,nhất định,.,,,easy
ぜひ,ぜひ,"bằng mọi giá, rất (muốn)",.,,,easy
なるべく,なるべく,càng nhiều càng tốt,.,,,easy
案外,あんがい,không ngờ đến,.,,,easy
もしかすると・もしかしたら・もしかして,,có lẽ,.,,,easy
まさか,まさか,"không thể ngờ, không",.,,,easy
うっかり,うっかり,"ngơ ngác, không để ý",.,,,easy
つい,つい,"vô ý, buột",.,,,easy
思わず,おもわず,không ngờ đến,.,,,easy
ほっと,ほっと,yên tâm,.,,,easy
いらいら,いらいら,"khó chịu, nóng giận",.,,,easy
のんびり,のんびり,tận hưởng,.,,,easy
実は,じつは,thực tế là,.,,,easy
