word,pronunciation,meaning,example,image_url,category,difficulty
男性,だんせい,đàn ông,.,,,easy
女性,じょせい,phụ nữ,.,,,easy
高齢,こうれい,cao tuổi,.,,,easy
年上,としうえ,hơn tuổi,.,,,easy
目上,めうえ,bề trên,.,,,easy
先輩,せんぱい,tiền bối,.,,,easy
後輩,こうはい,hậu bối,.,,,easy
上司,じょうし,cấp trên,.,,,easy
相手,あいて,người đối diện,.,,,easy
知り合い,しりあい,người quen,.,,,easy
友人,ゆうじん,bạn bè,.,,,easy
仲,なか,mối quan hệ,.,,,easy
生年月日,せいねんがっぴ,ngày tháng năm sinh,.,,,easy
誕生,たんじょう,ra đời,.,,,easy
年,とし,năm,.,,,easy
出身,しゅっしん,quê quán,.,,,easy
故郷,こきょう,cố hương,.,,,easy
成長,せいちょう,trưởng thành,.,,,easy
成人,せいじん,người trưởng thành,.,,,easy
合格,ごうかく,đỗ đại học,.,,,easy
進学,しんがく,vào đại học,.,,,easy
退学,たいがく,bỏ học,.,,,easy
就職,しゅうしょく,có việc làm,.,,,easy
退職,たいしょく,nghỉ việc,.,,,easy
失業,しつぎょう,thất nghiệp,.,,,easy
残業,ざんぎょう,làm thêm,.,,,easy
生活,せいかつ,cuộc sống,.,,,easy
通勤,つうきん,đi làm,.,,,easy
学歴,がくれき,bằng cấp,.,,,easy
給料,きゅうりょう,tiền lương,.,,,easy
面接,めんせつ,phỏng vấn,.,,,easy
休憩,きゅうけい,nghỉ ngơi,.,,,easy
観光,かんこう,tham quan,.,,,easy
帰国,きこく,về nước,.,,,easy
帰省,きせい,về quê,.,,,easy
帰宅,きたく,về nhà,.,,,easy
参加,さんか,tham gia,.,,,easy
出席,しゅっせき,có mặt,.,,,easy
欠席,けっせき,vắng mặt,.,,,easy
遅刻,ちこく,đến muộn,.,,,easy
化粧,けしょう,trang điểm,.,,,easy
計算,けいさん,tính toán,.,,,easy
計画,けいかく,kế hoạch,.,,,easy
成功,せいこう,thành công,.,,,easy
失敗,しっぱい,thất bại,.,,,easy
準備,じゅんび,chuẩn bị,.,,,easy
整理,せいり,chỉnh sửa,.,,,easy
注文,ちゅうもん,đặt hàng,.,,,easy
貯金,ちょきん,tiết kiệm,.,,,easy
徹夜,てつや,thức xuyên đêm,.,,,easy
引っ越し,ひっこし,chuyển nhà,.,,,easy
身長,しんちょう,chiều cao,.,,,easy
体重,たいじゅう,cân nặng,.,,,easy
けが,けが,vết thương,.,,,easy
会,かい,"hội, tiệc",.,,,easy
趣味,しゅみ,sở thích,.,,,easy
興味,きょうみ,hứng thú,.,,,easy
思い出,おもいで,nhớ lại,.,,,easy
冗談,じょうだん,đùa cợt,.,,,easy
目的,もくてき,mục đích,.,,,easy
約束,やくそく,lời hứa,.,,,easy
おしゃべり,おしゃべり,nói chuyện riêng,.,,,easy
遠慮,えんりょ,ngại ngần,.,,,easy
我慢,がまん,chịu đựng,.,,,easy
迷惑,めわく,làm phiền,.,,,easy
希望,きぼう,hi vọng,.,,,easy
夢,ゆめ,giấc mơ,.,,,easy
賛成,さんせい,đồng ý,.,,,easy
反対,はんたい,đối lập,.,,,easy
想像,そうぞう,tưởng tượng,.,,,easy
努力,どりょく,nỗ lực,.,,,easy
太陽,たいよう,mặt trời,.,,,easy
地球,ちきゅう,trái đất,.,,,easy
温度,おんど,nhiệt độ,.,,,easy
湿度,しつど,độ ẩm,.,,,easy
湿気,しっけ,hơi ẩm,.,,,easy
梅雨,つゆ,mùa mưa,.,,,easy
かび,かび,nấm mốc,.,,,easy
暖房,だんぼう,điều hòa ấm,.,,,easy
